1, 0.055us, 1, 0us, 113us, 167us, 0us, 0us, 0us, 0us, 0, 0, 0.093us, 1
2, 0.052us, 1, 0us, 39us, 52us, 0us, 0us, 0us, 0us, 0, 0, 0.092us, 1
4, 0.052us, 1, 0us, 42us, 55us, 0us, 0us, 0us, 0us, 0, 0, 0.091us, 1
8, 0.060us, 1, 0us, 39us, 52us, 0us, 0us, 0us, 0us, 0, 0, 0.091us, 1
16, 0.052us, 1, 0us, 39us, 52us, 0us, 0us, 0us, 0us, 0, 0, 0.091us, 1
32, 0.052us, 1, 0us, 42us, 55us, 0us, 0us, 0us, 0us, 0, 0, 0.091us, 1
64, 0.052us, 1, 0us, 39us, 52us, 0us, 0us, 0us, 0us, 0, 0, 0.092us, 1
128, 0.052us, 1, 0us, 40us, 53us, 0us, 0us, 0us, 0us, 0, 0, 0.091us, 1
256, 0.060us, 1, 0us, 39us, 53us, 0us, 0us, 0us, 0us, 0, 0, 0.092us, 1
512, 0.052us, 1, 0us, 44us, 60us, 0us, 0us, 0us, 0us, 0, 0, 0.092us, 1
1024, 0.052us, 1, 0us, 40us, 53us, 0us, 0us, 0us, 0us, 0, 0, 0.091us, 1
2048, 0.052us, 1, 0us, 38us, 51us, 0us, 0us, 0us, 0us, 0, 0, 0.092us, 1
4096, 0.052us, 1, 0us, 37us, 50us, 0us, 0us, 0us, 0us, 0, 0, 0.092us, 1
8192, 0.062us, 2, 0us, 60us, 69us, 0us, 0us, 0us, 0us, 0, 0, 0.093us, 2
16384, 0.058us, 4, 0us, 71us, 77us, 0us, 0us, 0us, 0us, 0, 0, 0.092us, 2
32768, 0.071us, 8, 0us, 61us, 65us, 0us, 0us, 0us, 0us, 0, 0, 0.096us, 6
65536, 0.077us, 16, 0us, 61us, 67us, 0us, 0us, 0us, 0us, 0, 0, 0.103us, 11
131072, 0.100us, 32, 0us, 57us, 63us, 0us, 0us, 0us, 0us, 0, 0, 0.109us, 18
262144, 0.160us, 64, 0us, 59us, 65us, 0us, 0us, 0us, 0us, 0, 0, 0.132us, 36
524288, 0.251us, 128, 0us, 57us, 64us, 0us, 0us, 0us, 0us, 0, 0, 0.170us, 66
1048576, 0.432us, 256, 0us, 61us, 66us, 0us, 0us, 0us, 0us, 0, 0, 0.205us, 122
2097152, 0.775us, 512, 0us, 59us, 64us, 0us, 0us, 0us, 0us, 0, 0, 0.380us, 245
4194304, 1.558us, 1024, 0us, 64us, 67us, 0us, 0us, 0us, 0us, 0, 0, 0.775us, 455
8388608, 3.232us, 2048, 0us, 68us, 71us, 0us, 0us, 0us, 0us, 0, 0, 1.433us, 848
16777216, 6.821us, 4096, 0us, 74us, 77us, 0us, 0us, 0us, 0us, 0, 0, 2.657us, 1583
33554432, 13.858us, 8173, 0us, 76us, 79us, 0us, 0us, 0us, 0us, 0, 0, 4.941us, 2915
67108864, 27.308us, 15617, 0us, 78us, 81us, 0us, 0us, 0us, 0us, 0, 0, 9.214us, 5349
134217728, 44.075us, 25578, 0us, 77us, 80us, 0us, 0us, 0us, 0us, 0, 0, 16.554us, 9469
268435456, 61.755us, 35110, 383us, 78us, 82us, 7us, 3us, 0us, 0us, 3559, 3559, 28.053us, 16196
536870912, 76.368us, 42161, 0us, 79us, 84us, 7us, 3us, 0us, 0us, 3559, 3559, 44.658us, 25265
